word,region,OED,label
Lake Chargoggagoggmanchauggagoggchaubunagungamaugg,US,layk-chahr-gahg-uh·-gahg·-man·-chah-GA-gahg-chah-boo-na·-goong-guh-mahg,Different
Hunstanton,UK,HUNSTUHN,Different
Bermondsey,UK,burmuhndzee,Same
Florida,New York City,FLAHR-i-duh,Different
Caleb,Southern England,KAY-luhb,Same
Sunni,Southern England,SUUNEE,Same
Testudines,US,te-STYOODINEEZ,Different
Macca's,General Australian,MAK-uhz,Same
Catiline,Southern England,KATUH-lighn·,Same
Martinique,Southern England,mahti·-NEEK,Different
Leominster,UK,LEMSTUH,Different
Maori,Southern England,MOWREE,Same
Roman,US,ROH-muhn,Same
Thanatos,US,THANUH-tahs·,Different
Fowey,UK,FOY,Same
Rotherhithe,UK,rodhuhrhuidh,Different
Dana,Southern England,DAHNUH,Different
buddha,US,BOODUH,Same
Brythonic,US,bri-THONIK,Same
Worcester,Boston,WUUSTUR,Same
Algiers,Southern England,al-JIUHZ,Same
Uri,Southern England,OOREE,Same
Fuchs,Southern England,fyooks,Different
Everest,Southern England,EEVRIST,Same
Beaulieu,UK,BYOOLEE,Different
Blackburn,Southern England,BLAKBUHN,Same
Everest,Southern England,EEVRIST,Different
Hertfordshire,Southern England,HAHT-fuhd-shuh,Different
Freo,General Australian,-eeuhuu,Bad
Coombe,UK,coom,Same
Tok Pisin,US,tok-PISIN,Same
Everest,Southern England,EEVRIST,Same
Funafuti,US,foonuh·-FOOTEE,Same
Yggdrasil,Southern England,IGDRUHSIL,Different
Yankovic,US,YANGKUHVICH,Different
Santander,Southern England,santan·-DEUH,Different
Seymour,Southern England,SEEMAW,Different
Finchley,UK,finchlee,Same
Aeneas,Southern England,i-NEE-uhs,Different
goatse,US,GOHT-see,Bad
Snovid,US,snoh-vid,Same
Buddha,US,BOODUH,Same
Connverse,Southern England,KONVURS,Same
Pynchon,Southern England,PINCHUHN,Same
Dubya,US,DUB-yuh,Same
Snow White,US,snoh-(h)wight,Same
Otto,US,AHTOH,Same
Cindy,Southern England,SINDEE,Same
Hereford,UK,HERƗFUHD,Different
Pilsen,Chicago,PILSUHN,Bad
Surbiton,UK,surbituhn,Same
Melchizedek,US,mel-KIZUHDEK,Same
Samaritan,US,suh-MERITUHN,Same
Scarborough,Southern England,SKAHRBUHROH,Same
Haringey,UK,haringgay,Same
Yoruba,US,YAWRUHBUH,Same
Aphroditus,US,afruh-DIGHTUHS,Same
Northolt,UK,nawthuhuult,Same
Northwood,UK,nawthwuud,Same
Thrace,Southern England,thrays,Same
Sergipe,US,sur-ZHEEPEE,Different
Honiara,Southern England,huhuuni·-AHRUH,Same
Holborn,UK,HUHUUBUHN,Bad
Maya,Southern England,MIGHUH,Bad
Bedfont,UK,bedfont,Same
Burundi,US,buu-ROONDEE,Same
Bihar,US,bi-HAHR,Same
Dulwich,UK,dulich,Different
Scunthorpe,Southern England,SKUNTHAWP,Different
Homerton,UK,homuhrtuhn,Same
Latium,US,LAY-shee-uhm,Different
Zucc,Southern England,zuk,Same
Uttar Pradesh,US,UUTUHR-pruh-DESH,Same
Tanzania,US,tanzuh·-NEEUH,Same
Wanda,Southern England,WONDUH,Different
Hippodamia,US,hipoduh·-MIGHUH,Different
Shoah,US,SHOH-uh,Same
Cypriot,Southern England,SIP-ree-uht,Same
Jyutping,US,yoot-pʰing,Different
Radder,General Australian,-aduh,Bad
Luxembourg,UK,LUK-suhm-burg,Same
Kremlin,Southern England,KREMLIN,Same
Guadalcanal,Southern England,gwah·-duhl-kuh-NAHL,Different
Yale,Southern England,yayl,Same
Dom,General Australian,dawm,Same
Harlesden,UK,hahrlzduhn,Same
Valletta,Southern England,vuh-LETUH,Same
Oliver,US,AHLIVUR,Same
T3,General Australian,tee·-THREE,Same
Warwickshire,Southern England,WO-rik-shuh,Different
Bournemouth,UK,bawnmuhth,Same
ICAO,UK,igh·-KAY-oh·,Same
Extremadura,Southern England,ekstruhmuh·-DUUUHRUH,Same
Dagon,Southern England,DAY-gon,Same
Soviet Union,Mid-Atlantic US,SOHVEEUHT-YOONYUHN,Different
Alnwick,UK,ANIK,Different
Bow,UK,buhuu,Bad
Morse,Southern England,MAWS,Same
Lagos,Southern England,LAYGOS,Different
Muscat,Southern England,MUSKAT,Same
Jutland,US,JUT-luhnd,Same
Berkshire,UK,BAHKSHUH,Different
Arabian,London,uh-RAY-bee-uhn,Same
Los Angeles,US,laws-ANJUHLUHS,Same
Elgan,Southern England,ELGUHN,Same
Gerard,Southern England,JERAHD,Different
Hejaz,Southern England,hi-JAHZ,Different
Beckton,UK,bektuhn,Same
Backrooms,US,BAK-rooms·,Same
Brazos,US,BRAZUHS,Bad
Felixstowe,Southern England,FEE-lik-stoh,Same
Antonio,Southern England,an-TOHNEEOH,Same
Conley,US,KONLEE,Same
MOPP,US,mahp,Same
Stafford,Southern England,STAFUHD,Different
Rupert,Southern England,ROOPURT,Same
Lanier,Southern England,LAYNYUH,Different
Handley,US,HANDLEE,Same
ritual,US,RICH-oo-uhl,Same
not,UK,not,Same
parliamentary,US,pahrluh·-MENT(UH)REE,Same
humbler,US,HUMBLUR,Same
iodine,US,"IGH-uh-dighn,·-din,-deen",Different
cuntwaffle,US,KUNT-wawfuhl·,Bad
yarl,Southern England,yahrl,Same
sophistry,US,SAH-fi-stree,Different
kezboard,US,KEZBAWD,Different
rabid,US,RABID,Same
presidium,Southern England,pri-SIDEE-uhm,Same
buckling,Southern England,BUK-uhl-ing,Different
nostrum,US,NAH-struhm,Different
premises,Mid-Atlantic US,PREMISIZ,Bad
proppant,Southern England,PROPUHNT,Same
sprag,Southern England,sprag,Same
sifter,Southern England,SIFTUR,Same
hall,US,hawl,Same
four-legged,Southern England,faw-LEGID,Same
cot,US,kaht,Same
pyrrhic,Southern England,PI-rik,Same
Muslime,General Australian,MUUSLIGHM,Different
femme,Southern England,fem,Same
kinda,US,KIGHNDUH,Same
roti,US,ROHTEE,Same
parametric,US,per·-uh-MET-rik,Same
ghazal,Southern England,GAZAL,Same
costard,Southern England,KOS-tuhd,Different
tarry,Southern England,TAR-ee,Same
wary,Southern England,WEUH-ree,Same
orgiast,Southern England,AWJEE-ast·,Different
superposition,General Australian,sʉ·-puh-puh-ZISH-uhn,Bad
idyllic,US,igh-DILIK,Same
specialty,US,SPESHUHLTEE,Same
sonero,UK,suh-NEUHRUHUU,Different
biffo,General Australian,BIFUHUU,Same
skeeve,General Australian,-eev,Same
lambrequin,Southern England,LAMBRUHKIN,Different
smouch,Southern England,smooch,Different
cherubim,UK,CHE-r(y)oo-bim,Same
errhine,US,ER-ighn,Same
mandylion,Received Pronunciation,mahn-DILIUHN,Bad
targe,Southern England,tahj,Different
aliquot,Southern England,A-li-kwot,Different
transverse,Southern England,-urs,Bad
brant,Southern England,brant,Same
morgue,Southern England,mawg,Different
messuage,Southern England,MESWIJ,Different
cub,US,kub,Same
trugg,Southern England,TRUG,Same
pica,US,PIGHKUH,Same
courier,Southern England,KUUR-ee-uh,Different
rover,Southern England,RUHUUVUH,Different
bodice,US,BAHDIS,Same
avoidant,Southern England,uh-VOYDUHNT,Same
consul,US,KAHN-suhl,Same
cuzzo,US,KUZOH,Different
steles,Southern England,STEELEEZ,Different
hallmark,Southern England,HAWLMAHK,Same
hetsmut,Southern England,HETSMUT,Same
matcha,US,MAH-chuh,Same
cord,US,kawrd,Same
crwth,US,krooth,Same
open,Received Pronunciation,UHUUP(UH)N,Bad
hussar,Southern England,HUSUH,Different
serrate,Southern England,suh-RAYT,Bad
soap,US,sohp,Same
proscenium,Southern England,pruhuu-SEE-nee-uhm,Same
resonance,Southern England,REZUHNUHNS,Same
florescence,Southern England,flaw-RESUHNS,Same
theodolite,Southern England,thee-ODUHLIGHT,Same
churr,Southern England,chur,Same
bandy,Southern England,BANDEE,Same
polity,US,PAH-luh-tee,Same
loph,Southern England,luhuuf,Different
tuba,UK,TYOO-buh,Different
jewellery,Southern England,JOO(UH)LREE,Same
agnosticism,Mid-Atlantic US,ag-NAHSTISIZUHM,Same
twig,US,twig,Same
eisteddfod,US,igh-STEDHVOD,Same
Laodicean,Southern England,layuhdi-SEEUHN,Same
abeyancy,Canada,uh-BAY-uhnt-see,Same
turron,Southern England,tuh-RON,Different
tenbagger,Southern England,TEN-baguh·,Same
gamahuche,US,GAMUHHOOSH,Different
polygenesis,Southern England,poli·-JENUHSIS,Same
tsukubai,Southern England,(T)SOOKOO-bigh·,Different
wharves,Southern England,(h)wawvz,Same
constraint,General Australian,kuhn-STRAINT,Same
throb,Southern England,-ob,Bad
cotton wool,US,KOTUHN-wuul,Same
ohana,Southern England,uh-HAHNUH,Same
phugoid,US,FYOO-goyd·,Same
sir,US,sur,Same
sparge,Southern England,spahrj,Same
cum dumpster,General Australian,kum-dumpstur,Bad
descanso,Southern England,des-KAHNSOH,Same
shamble,US,SHAMBL,Same
barnet,Southern England,BAHNIT,Same
acetable,US,A-si-tuh-buhl,Different
armlet,US,AHRMLUHT,Same
size queen,General Australian,SIGHZ-kween,Same
amazon,US,AM-uh-zahn·,Same
tendril,Southern England,TEN-druhl,Same
dicklet,General Australian,DIKLIT,Same
downstairs,US,down-STERZ,Same
resistant,Southern England,ruh-ZISTUHNT,Same
concerti,US,kun-CHER-tee·,Same
cozzie,General Australian,-ozee,Bad
Skidoo,US,SKEE-doo·,Different
mowing,Southern England,MUHUU-ing,Same
drunchies,Southern England,DRUNCHEEZ,Same
abirritant,US,ab-IR-i-tnt,Same
cur,Southern England,kur,Same
phosphatide,US,FOSFUHTIGHD,Same
geographer,Brisbane,jee-AWG-ruh-fuh,Different
domme,General Australian,dawm,Same
frith,Southern England,frith,Same
forefathers,US,FAWR-fahdhurz·,Bad
laborer,Southern England,LAY-bur-rur,Same
resemblance,Southern England,ruh-ZEMBLUHNS,Same
stalk,US,stawk,Same
console,US,KAHN-sohl,Same
purse,US,purrs,Same
vole,Southern England,vuhuul,Same
meningitis,Southern England,menin·-JIGHTIS,Same
leatherneck,General Australian,LEDH-uh-nek,Different
cygnet,US,SIG-nit,Same
pepo,UK,PEE-puhuu,Different
exbibyte,Southern England,EKS-bi-bight·,Same
heiress,Southern England,euh-RES,Different
flop,General Australian,flawp,Same
protective,Southern England,pruh-TEK-tiv,Same
forenoon,US,FAWRNOON,Same
powders,US,POW-durz,Same
ginger minger,General Australian,JINJUH-MINJUH,Different
vicuna,Southern England,vi-KOONYUH,Different
tsukaminage,Southern England,(t)sookuhmi·-NAHGAY,Same
embonpoint,Southern England,ahbawpwe,Different
bacillus,US,ba-SIL-uhs,Different
astrognosy,Southern England,uhs-TROGNUHSEE,Same
acquis,Southern England,a-KEE,Different
toluene,US,TAHL-yoo-een,Same
fuckhead,Southern England,FUK-hed·,Bad
polycule,US,PAH-lee-kyool,Same
coldness,US,KOHLDNUHS,Same
Americunt,General Australian,uh-MER-i-kunt·,Bad
exploit,US,iks-PLOYT,Same
qoph,US,khahf,Different
sidewalk,US,SIGHDWAWK,Same
lager,US,LAHGUR,Same
sybarite,US,SIBUH-right·,Same
bere,Southern England,biuh,Different
poppy,US,PAHPEE,Same
hopper,General Australian,HAWP-uh,Different
transverse,Southern England,-urs,Bad
misle,Southern England,MIZUHL,Different
conserve,Southern England,KONSURV,Same
transverse,Southern England,-urs,Bad
ne,Southern England,nuh,Different
zobo,Southern England,ZOH-boh,Same
fodder,US,FAHDUR,Same
buttons,General Australian,BUTNZ,Bad
quorate,Southern England,KWAWR-uht,Different
clithrophobia,US,klithruh-FOHBEEUH,Different
solitaire,Southern England,SOL-i-teuh·,Different
metal,US,MERL,Same
achieving,US,uh-CHEEVING,Same
accouri,US,uh-KOOREE,Different
burk,General Australian,-urk,Bad
consult,US,KAHNSULT,Different
salivation,US,saluh·-VAYSHUHN,Same
triomino,US,trigh-AHMI-noh·,Bad
hypostasis,US,high-PAHSTUHSIS,Bad
use,Southern England,yoos,Bad
garage,UK,GA-rah(d)zh,Different
chuff,UK,chuf,Same
thank,US,thangk,Same
garbanzo,Southern England,gahr-BAHNZOH,Different
interflow,Southern England,intuh·-FLUHUU,Same
salat,Southern England,suh-LAHT,Different
springald,Southern England,SPRINGUHLD,Same
Erse,Southern England,-urs,Bad
artlang,US,AHT-lang,Same
aetiology,US,ee-tee-AH-luh-jee,Same
charabanc,Southern England,SHA-ruh-bang(k),Same
Christendom,Southern England,KRISNDUHM,Different
dissuasion,US,di-SWAYZHUHN,Bad
brob,Southern England,brob,Same
kha-nyou,Southern England,kah-nyoo,Different
remount,Southern England,REEMOWNT,Same
jaunce,Southern England,jawns,Same
pontiff,Southern England,PONTIF,Same
drouth,Southern England,drowth,Same
quinone,Southern England,KWINUHUUN,Same
voltage,London,VUHUULTIJ,Same
processes,US,PRAHSESIZ,Different
JDAM,US,JAY-dam·,Bad
drollery,Southern England,DRUHUULUHREE,Different
sparing,Southern England,SPEUHRING,Same
creationism,US,kree-AYSHUHNIZUHM,Same
forebode,Southern England,faw-BUHUUD,Same
Simeonite,Southern England,SI-mee-uh-night,Same
reject,Southern England,REE-jekt,Different
tippler,Southern England,TIPLUH,Different
hyperbola,US,high-PUR-buh-luh,Same
spignel,Southern England,SPIGNUHL,Different
terrier,Southern England,TEREEUH,Different
kai,US,-igh,Bad
kissy,Southern England,-isee,Bad
transverse,Southern England,-urs,Bad
grower,General Australian,GROHUR,Same
cannula,US,KANYUULUH,Same
syllepsis,Southern England,si-LEP-sis,Different
visor,US,VIGHZUR,Same
animé,US,A-ni-may,Same
groundhogese,Southern England,growndhog·-EEZ,Different
fatuity,US,fuh-TOOITEE,Different
frumple,US,FRUMPUHL,Same
panga,Southern England,PANGGUH,Same
cod,US,kahd,Same
sluice,Southern England,sloos,Same
chereme,US,KIUHREEM,Different
transverse,Southern England,-urs,Bad
teratoid,US,TER-uh-toyd,Same
floordrobe,US,FLAWRDROHB,Same
bar review,Received Pronunciation,BAH-ri-vyoo·,Same
foundings,US,FOWNDINGZ,Same
pendant,Southern England,PEND(UH)NT,Same
entitlement,Southern England,uhn-TIGHTUHLMUHNT,Same
intranet,Southern England,INTRUH-net·,Same
halitosis,Southern England,hal-i-TOH-sis,Same
vaccicide,UK,VAKSISIGHD,Same
baragouin,Received Pronunciation,BARUHGWA,Different
skimble-skamble,Southern England,SKIMB(UH)L-skamb(uh)l·,Bad
geometer,US,jee-AHM-uh-tur,Same
angolar,Southern England,angguh·-LAH,Different
commanding,US,kuh-MANDING,Bad
loup-garou,US,loo·-guh-ROO,Bad
insouciance,Southern England,in-SOOSEE-uhns,Same
sthene,US,STHEEN,Same
Deleuzoguattarian,US,duh-loozuhuugwuh·-TAHREEUHN,Different
parallettes,Southern England,PARUHLUHTS,Same
potty mouth,General Australian,POTEE-mowth,Same
snorter,General Australian,-awtuh,Bad
shithead,UK,SHIT-hed,Bad
Coptic,US,KAHP-tik,Same
blinking,General Australian,-ingking,Bad
bandit,General Australian,BANDIT,Same
hammochrysos,Southern England,hamuh·-KRIGHSOS,Bad
transverse,Southern England,-urs,Bad
fork,US,fohrk,Same
gateway,US,GAYT-way·,Bad
gules,UK,GYOOLZ,Same
transverse,Southern England,-urs,Bad
orchestra,US,AWRKUHSTRUH,Same
boaster,Southern England,BOHSTUR,Same
tearer,"General American , Mary – marry – merry merger",terur,Bad
compellation,US,kahmpuh·-LAYSHUHN,Different
rill,Southern England,-il,Bad
trier,Southern England,TRIGHUH,Bad
steward,US,STOOURD,Same
montane,US,mahn-TAYN,Same
verity,Southern England,VERITEE,Same
GMLRS,Southern England,GIMLUHRS,Different
psychopathies,US,sigh-KAHPUHTHEEZ,Same
asshole,US,AS-hohl·,Bad
leather,US,LEDHUR,Same
acephalan,US,ay-SE-fuh-luhn,Skip
deferral,US,di-FURUHL,Same
staphylococci,Southern England,stafuhluh·-KAWKEE,Different
grabass,Southern England,GRAB-as·,Same
stylet,US,-ighluht,Bad
occasions,US,uh-KAYZHUHNZ,Same
ging,Southern England,GING,Different
curtains,US,KUR-tuhnz,Same
tike,Southern England,tighk,Same
strung,US,-ung,Bad
fadge,Southern England,faj,Same
shorn,US,shawrn,Same
cote,Southern England,kuhuut,Same
principality,US,prinsi-PALITEE,Same
discussions,US,di-SKUSHUHNZ,Same
adepts,US,AD-epts,Different
pineal,US,PINIUHL,Different
periplus,Southern England,PERI-plus·,Same
bool,General Australian,-ool,Bad
